代碼	名稱	數量	權重
2330	台積電	199021	52.23
2454	聯發科	12323	4.74
2317	鴻海	90715	4.51
2382	廣達	22030	2
2308	台達電	17888	1.89
2303	聯電	97116	1.66
2891	中信金	150894	1.55
3711	日月光投控	28288	1.44
2881	富邦金	64104	1.43
2412	中華電	31492	1.28
2886	兆豐金	95071	1.24
2882	國泰金	76215	1.2
2884	玉山金	123147	1.08
2885	元大金	100661	0.99
1216	統一	39694	0.98
3231	緯創	23631	0.96
3034	聯詠	4739	0.92
2002	中鋼	102113	0.84
2357	華碩	5840	0.82
1303	南亞	42992	0.81
2892	第一金	88886	0.79
5880	合庫金	87744	0.74
1301	台塑	30887	0.72
2379	瑞昱	3938	0.72
2345	智邦	4404	0.68
2890	永豐金	95360	0.67
5871	中租-KY	11653	0.67
3037	欣興	10761	0.66
2327	國巨	3235	0.65
3008	大立光	845	0.65
2880	華南金	84117	0.63
2301	光寶科	17693	0.59
2883	開發金	130434	0.59
1101	台泥	54770	0.58
3661	世芯-KY	591	0.58
2887	台新金	98069	0.57
2207	和泰車	2694	0.56
4938	和碩	16927	0.55
6669	緯穎	718	0.54
1326	台化	28347	0.51
3045	台灣大	15115	0.51
2395	研華	3779	0.47
5876	上海商銀	30956	0.47
2603	長榮	8328	0.45
1590	亞德客-KY	1124	0.43
2912	統一超	4647	0.41
4904	遠傳	14637	0.39
2801	彰銀	56243	0.33
6505	台塑化	11302	0.27
2408	南亞科	9586	0.22
